ID;Nombre;Ingredientes;Cocinado;Tiempo;Calorias;Descripcion;Ingredientes;Categorias_App;Subcategorias_App
1A;Pollo con salsa de espárragos;(100g) espárragos, (150g) pechuga de pollo, (1 cda) queso crema o feta, (15g) almendras, (unas hojas) albahaca fresca, (1 diente) ajo, (1 chorro) AOVE;Hervido, Sartén, Trituradora;10;350;Hervir espárragos (menos puntas). Triturar con queso, almendras, ajo y albahaca. Cocinar pollo y puntas a la Sartén. Servir con salsa.;AOVE, Ajo, Almendras, espárragos, Pollo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Frutos Secos, Quesos, Tallos
2A;Pollo al limón;(1 muslo y contramuslo) pollo, (0.5 ud) limón, (1 cda) AOVE, (1 diente) ajo, romero, sal, calabacín, cebolla;Horno;30;380;Colocar pollo en bandeja con zumo de limón y rodajas. Pintar con mezcla de aceite, ajo y especias. Hornear hasta dorar.;AOVE, Ajo, calabacín, Cebolla, limón, Pollo;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Cítrico, Hortalizas
1C;Milhojas de calabacín;(0.5 ud) calabacín, (3 cdas) tomate triturado, (30g) queso rallado cabra, (3 lonchas) jamón cocido +85%, (al gusto) orégano;Microondas u Horno;15;250;Cortar calabacín en rodajas finas. Alternar capas de calabacín, tomate, jamón y queso. Cocinar hasta que el queso gratine.;calabacín, Queso, Tomate;Lácteo, Vegetal;Hortalizas, Quesos
2C;Flauta de calabacín;(1 ud) calabacín pequeño, (2 cdas) tomate natural, (2 lonchas) jamón cocido, (20g) queso, (1 cda) AOVE;Microondas;10;220;Cortar calabacín por la mitad, vaciar un poco, rellenar con tomate, jamón y queso. Cocinar 5-8 min en microondas.;AOVE, calabacín, Queso, Tomate;Grasas, Lácteo, Vegetal;Aceites, Hortalizas, Quesos
3A;Ensalada de lentejas;(100g) lentejas cocidas, (1 lata) atún natural, (1 ud) tomate, (5 uds) aceitunas negras, (40g) queso feta, (1 puñado) rúcula, (10ml) AOVE;Ensamblaje;5;320;Mezclar todos los ingredientes en un bol. Aliñar con aceite y limón.;AOVE, Aceitunas, Atún, Lentejas, Queso, Rúcula, Tomate;Grasas, Lácteo, Proteína, Vegetal;Aceites, Frutos, Hoja Verde, Hortalizas, Legumbres, Pescado Azul, Quesos
4A;Ensalada de garbanzos;(100g) garbanzos cocidos, (5 uds) langostinos, (0.5 ud) mango, (40g) queso feta, (1 puñado) rúcula;Ensamblaje;10;340;Mezclar legumbres con mango picado y langostinos cocidos. Añadir queso feta y rúcula.;Garbanzos, Langostinos, Mango, Queso, Rúcula;Fruta, Lácteo, Proteína, Vegetal;Dulce, Hoja Verde, Legumbres, Marisco, Quesos
3C;Rollito de alcachofa;(8 uds) alcachofas bote, (6 lonchas) jamón serrano, (50g) queso cabra;Airfryer u Horno;15;280;Escurrir alcachofas, aplastar un poco, poner jamón y queso encima. Hornear hasta que estén crujientes.;Alcachofas, Queso;Lácteo, Vegetal;Hortalizas, Quesos
4C;Alcachofas a la plancha;(8 uds) alcachofas, (100g) jamón serrano, (0.5 ud) aguacate, (al gusto) ajo en polvo;Sartén;10;310;Saltear alcachofas cortadas con jamón. Servir con láminas de aguacate fresco.;Aguacate, Ajo, Alcachofas;Fruta, Vegetal;Bulbos, Grasas, Hortalizas
5A;espárragos con huevos y queso;(1 manojo) espárragos, (2 uds) huevos, (2 cdas) queso feta, (1 cda) AOVE, sal, pimienta;Horno o Microondas;20;300;Colocar espárragos en bandeja con aceite y sal. Hornear 15 min. Añadir los huevos encima y el queso feta desmenuzado. Hornear 5 min más hasta que el huevo cuaje.;AOVE, espárragos, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Huevos, Quesos, Tallos
6A;espárragos salteados;(1 manojo) espárragos, (2 uds) huevos, (1 rebanada) pan integral, (1 puñado) ensalada;Sartén;12;320;Saltear espárragos troceados. Hacer huevos a la plancha. Servir sobre la tostada integral con la ensalada de acompañamiento.;espárragos, Huevo, Pan;Carbohidrato, Proteína, Vegetal;Cereales, Huevos, Tallos
